ID,Disease,Fever,Cough,Headache,Rash,Fatigue,Nausea,Vomiting,Diarrhea,Sore Throat,Muscle Pain,Joint Pain,Chest Pain,Shortness of Breath,Abdominal Pain,Back Pain,Dizziness,Weight Loss,Sweating,Itchy Skin,Blurred Vision,Swelling,Runny Nose,Congestion,Loss of Appetite,Painful Urination,Fever Blisters,Loss of Smell,Loss of Taste,Numbness,Tingling,Chills,Hoarseness,Doctor Specialization,Cause,Treatment,Risk of Disease,,,,,,,,,,,,
19,Osteoarthritis,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthopedist,Degenerative,"Pain Relievers (e.g., Acetaminophen)",Medium,,,,,,,,,,,,
20,Gout,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,Rheumatologist,Metabolic Disorder,"Pain Relievers (e.g., Allopurinol)",Medium,,,,,,,,,,,,
21,Herpes Simplex,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Dermatologist,Viral Infection,"Antiviral Medication (e.g., Acyclovir)",Medium,,,,,,,,,,,,
22,Shingles,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,Dermatologist,Viral Infection,"Antiviral Medication (e.g., Valacyclovir)",Medium,,,,,,,,,,,,
23,Lyme Disease,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Infectious Disease Specialist,Bacterial Infection,"Antibiotics (e.g., Doxycycline)",Medium,,,,,,,,,,,,
24,Tetanus,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infectious Disease Specialist,Bacterial Infection,Tetanus Toxoid Vaccine,High,,,,,,,,,,,,
25,Hepatitis B,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Gastroenterologist,Viral Infection,"Antiviral Medication (e.g., Tenofovir)",High,,,,,,,,,,,,
26,Hepatitis C,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Gastroenterologist,Viral Infection,"Antiviral Medication (e.g., Sofosbuvir)",High,,,,,,,,,,,,
27,Mumps,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,Pediatrician,Viral Infection,Supportive Care,Medium,,,,,,,,,,,,
28,Measles,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Pediatrician,Viral Infection,Supportive Care,High,,,,,,,,,,,,
29,Whooping Cough,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Pediatrician,Bacterial Infection,"Antibiotics (e.g., Azithromycin)",High,,,,,,,,,,,,
30,Pertussis,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Pediatrician,Bacterial Infection,"Antibiotics (e.g., Erythromycin)",High,,,,,,,,,,,,
31,Polio,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Infectious Disease Specialist,Viral Infection,Polio Vaccine,High,,,,,,,,,,,,
32,Encephalitis,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Neurologist,Viral/Bacterial Infection,"Antiviral or Antibiotics (e.g., Acyclovir)",High,,,,,,,,,,,,
33,Cystic Fibrosis,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pulmonologist,Genetic Disorder,"Mucolytics (e.g., Dornase alfa)",High,,,,,,,,,,,,
34,Sickle Cell Anemia,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematologist,Genetic Disorder,Pain Management and Blood Transfusions,High,,,,,,,,,,,,
35,Thalassemia,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematologist,Genetic Disorder,Blood Transfusions and Chelation Therapy,High,,,,,,,,,,,,
36,Hemophilia,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematologist,Genetic Disorder,Factor Replacement Therapy,High,,,,,,,,,,,,
37,Wilson's Disease,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatologist,Genetic Disorder,"Chelating Agents (e.g., D-penicillamine)",Medium,,,,,,,,,,,,
38,Addison's Disease,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endocrinologist,Autoimmune,"Hormone Replacement Therapy (e.g., Cortisol)",Medium,,,,,,,,,,,,
39,Graves' Disease,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endocrinologist,Autoimmune,"Antithyroid Medication (e.g., Methimazole)",Medium,,,,,,,,,,,,
40,Hashimoto's Thyroiditis,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Endocrinologist,Autoimmune,"Thyroid Hormone Replacement (e.g., Levothyroxine)",Medium,,,,,,,,,,,,
41,Acute Bronchitis,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Pulmonologist,Viral/Bacterial Infection,Cough Suppressants and Bronchodilators,Medium,,,,,,,,,,,,
42,Chronic Bronchitis,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,Pulmonologist,Smoking/Environmental Irritants,Inhaled Steroids and Long-Acting Bronchodilators,High,,,,,,,,,,,,
43,Chronic Sinusitis,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,ENT Specialist,Bacterial/Viral Infection,Nasal Steroids and Decongestants,Medium,,,,,,,,,,,,
44,Acute Sinusitis,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,ENT Specialist,Bacterial/Viral Infection,Nasal Decongestants and Antibiotics,Medium,,,,,,,,,,,,
45,Otitis Media,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,ENT Specialist,Bacterial/Viral Infection,Antibiotics or Pain Relievers,Medium,,,,,,,,,,,,
46,Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ophthalmologist,Increased Intraocular Pressure,"Eye Drops (e.g., Latanoprost)",Medium,,,,,,,,,,,,
47,Cataracts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ophthalmologist,Aging/Genetic Factors,"Surgery (e.g., Cataract Extraction)",Medium,,,,,,,,,,,,
48,Macular Degeneration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ophthalmologist,Aging/Genetic Factors,"Anti-VEGF Injections (e.g., Lucentis)",Medium,,,,,,,,,,,,
49,Diabetic Retinopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ophthalmologist,Diabetes Complication,Laser Treatment and Control of Diabetes,High,,,,,,,,,,,,
50,Uveitis,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ophthalmologist,Autoimmune/Infection,Corticosteroid Eye Drops,Medium,,,,,,,,,,,,
51,Endometriosis,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Gynecologist,Hormonal/Genetic Factors,Pain Relievers and Hormonal Therapy,High,,,,,,,,,,,,
52,Polycystic Ovary Syndrome,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Gynecologist,Hormonal Disorder,Hormonal Therapy and Lifestyle Changes,Medium,,,,,,,,,,,,
53,Pelvic Inflammatory Disease,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,Gynecologist,Bacterial Infection,Antibiotics and Pain Management,High,,,,,,,,,,,,
54,Fibroids,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gynecologist,Benign Tumors,Hormonal Therapy or Surgery,Medium,,,,,,,,,,,,
55,Ovarian Cysts,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gynecologist,Benign Tumors,Pain Management and Monitoring,Medium,,,,,,,,,,,,
56,Breast Cancer,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Oncologist,Malignancy,"Surgery, Radiation, and Chemotherapy",High,,,,,,,,,,,,
57,Prostatitis,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Urologist,Bacterial Infection,Antibiotics and Pain Management,Medium,,,,,,,,,,,,
58,Benign Prostatic Hyperplasia (BPH),0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Urologist,Age-Related Changes,Alpha-Blockers or 5-Alpha Reductase Inhibitors,Medium,,,,,,,,,,,,
59,Kidney Stones,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Urologist,Calcium or Uric Acid Crystals,Pain Management and Hydration,Medium,,,,,,,,,,,,
60,Urinary Tract Infection (UTI),1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Urologist,Bacterial Infection,"Antibiotics (e.g., Trimethoprim)",Medium,,,,,,,,,,,,
61,Interstitial Cystitis,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Urologist,Bladder Inflammation,Pain Management and Bladder Instillations,Medium,,,,,,,,,,,,
62,Osteoporosis,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Bone Density Loss,Calcium and Vitamin D Supplements,Medium,,,,,,,,,,,,
63,Dermatitis,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Dermatologist,Allergens/Irritants,Topical Steroids and Avoidance of Irritants,Medium,,,,,,,,,,,,
64,Acne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dermatologist,Hormonal Changes,"Topical or Oral Medications (e.g., Retinoids)",Medium,,,,,,,,,,,,
65,Vitiligo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Dermatologist,Autoimmune Disorder,Topical Treatments and Phototherapy,Medium,,,,,,,,,,,,
66,Alopecia Areata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dermatologist,Autoimmune Disorder,Topical Steroids and Minoxidil,Medium,,,,,,,,,,,,
67,Rubella,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,Infectious Disease Specialist,Viral Infection,Supportive Care,Medium,,,,,,,,,,,,
68,Hyperthyroidism,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Endocrinologist,Thyroid Gland Overactivity,Antithyroid Medications or Radioactive Iodine,Medium,,,,,,,,,,,,
69,Hypothyroidism,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endocrinologist,Thyroid Gland Underactivity,Thyroid Hormone Replacement Therapy,Medium,,,,,,,,,,,,
70,Cushing's Syndrome,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endocrinologist,Adrenal Gland Overactivity,Surgical Removal of Tumor or Medications,Medium,,,,,,,,,,,,
71,Type 1 Diabetes,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endocrinologist,Autoimmune Disorder,Insulin Therapy and Blood Sugar Monitoring,High,,,,,,,,,,,,
72,Type 2 Diabetes,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endocrinologist,Insulin Resistance,Oral Hypoglycemics and Lifestyle Changes,High,,,,,,,,,,,,
73,Peripheral Neuropathy,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Nerve Damage from Diabetes or Trauma,Pain Relievers and Neuropathic Medications,Medium,,,,,,,,,,,,
74,Epilepsy,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Seizure Disorder,"Antiepileptic Drugs (e.g., Phenytoin)",Medium,,,,,,,,,,,,
75,Cluster Headache,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Vascular Headache,Pain Relievers and Preventive Medications,Medium,,,,,,,,,,,,
76,Tension Headache,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Stress or Tension,Pain Relievers and Stress Management,Medium,,,,,,,,,,,,
77,Alzheimer's Disease,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Neurodegenerative Disorder,Cognitive Enhancers and Supportive Care,High,,,,,,,,,,,,
78,Parkinson's Disease,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Neurodegenerative Disorder,Dopaminergic Medications and Physical Therapy,High,,,,,,,,,,,,
79,Multiple Sclerosis,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Neurologist,Autoimmune Disorder,Disease-Modifying Therapies and Symptom Management,High,,,,,,,,,,,,
80,Amyotrophic Lateral Sclerosis (ALS),1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Neurodegenerative Disorder,Supportive Care and Symptomatic Treatment,High,,,,,,,,,,,,
81,Systemic Lupus Erythematosus,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Antimalarials and Immunosuppressants,High,,,,,,,,,,,,
82,Scleroderma,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Immunosuppressants and Symptomatic Treatment,High,,,,,,,,,,,,
83,Sjögren's Syndrom,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Moisturizers and Immunosuppressants,Medium,,,,,,,,,,,,
84,Myasthenia Gravis,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Autoimmune Disorder,Anticholinesterase Medications and Immunosuppressants,Medium,,,,,,,,,,,,
85,Huntington's Disease,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Genetic Disorder,Supportive Care and Symptomatic Treatment,High,,,,,,,,,,,,
86,Type 2 Diabetes,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Endocrinologist,Insulin Resistance,Oral Hypoglycemics and Lifestyle Changes,High,,,,,,,,,,,,
87,Peripheral Neuropathy,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Nerve Damage from Diabetes or Trauma,Pain Relievers and Neuropathic Medications,Medium,,,,,,,,,,,,
88,Epilepsy,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Seizure Disorder,"Antiepileptic Drugs (e.g., Phenytoin)",Medium,,,,,,,,,,,,
89,Migraine,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Vascular Headache,Pain Relievers and Preventive Medications,Medium,,,,,,,,,,,,
90,Cluster Headache,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Vascular Headache,Pain Relievers and Preventive Medications,Medium,,,,,,,,,,,,
91,Tension Headache,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Stress or Tension,Pain Relievers and Stress Management,Medium,,,,,,,,,,,,
92,Alzheimer's Disease,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Neurodegenerative Disorder,Cognitive Enhancers and Supportive Care,High,,,,,,,,,,,,
93,Parkinson's Disease,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Neurodegenerative Disorder,Dopaminergic Medications and Physical Therapy,High,,,,,,,,,,,,
94,Multiple Sclerosis,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Neurologist,Autoimmune Disorder,Disease-Modifying Therapies and Symptom Management,High,,,,,,,,,,,,
95,Amyotrophic Lateral Sclerosis (ALS),1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neurologist,Neurodegenerative Disorder,Supportive Care and Symptomatic Treatment,High,,,,,,,,,,,,
96,Systemic Lupus Erythematosus,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Antimalarials and Immunosuppressants,High,,,,,,,,,,,,
97,Scleroderma,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Immunosuppressants and Symptomatic Treatment,High,,,,,,,,,,,,
98,Sjögren's Syndrom,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Rheumatologist,Autoimmune Disorder,Moisturizers and Immunosuppressants,Medium,,,,,,,,,,,,
99,Myasthenia Gravis,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neurologist,Autoimmune Disorder,Anticholinesterase Medications and Immunosuppressants,Medium,,,,,,,,,,,,
100,Wilson's Disease,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatologist,Genetic Disorder,Chelating Agents and Supportive Care,High,,,,,,,,,,,,
