type,typeCode,title
subcategory,D64.1,"Secondary sideroblastic anaemia due to disease"
subcategory,D64.2,"Secondary sideroblastic anaemia due to drugs and toxins"
subcategory,D64.3,"Other sideroblastic anaemias"
subcategory,D64.4,"Congenital dyserythropoietic anaemia"
subcategory,D64.8,"Other specified anaemias"
subcategory,D64.9,"Anaemia, unspecified"
category,D65,"Disseminated intravascular coagulation [defibrination syndrome]"
category,D66,"Hereditary factor VIII deficiency"
category,D67,"Hereditary factor IX deficiency"
subcategory,D68.0,"Von Willebrand disease"
subcategory,D68.1,"Hereditary factor XI deficiency"
subcategory,D68.2,"Hereditary deficiency of other clotting factors"
subcategory,D68.3,"Haemorrhagic disorder due to circulating anticoagulants"
subcategory,D68.4,"Acquired coagulation factor deficiency"
subcategory,D68.5,"Primary thrombophilia"
subcategory,D68.6,"Other thrombophilia"
subcategory,D68.8,"Other specified coagulation defects"
subcategory,D68.9,"Coagulation defect, unspecified"
subcategory,D69.0,"Allergic purpura"
subcategory,D69.1,"Qualitative platelet defects"
subcategory,D69.2,"Other nonthrombocytopenic purpura"
subcategory,D69.3,"Idiopathic thrombocytopenic purpura"
subcategory,D69.4,"Other primary thrombocytopenia"
subcategory,D69.5,"Secondary thrombocytopenia"
subcategory,D69.6,"Thrombocytopenia, unspecified"
subcategory,D69.8,"Other specified haemorrhagic conditions"
subcategory,D69.9,"Haemorrhagic condition, unspecified"
category,D70,"Agranulocytosis"
category,D71,"Functional disorders of polymorphonuclear neutrophils"
subcategory,D72.0,"Genetic anomalies of leukocytes"
subcategory,D72.1,"Eosinophilia"
subcategory,D72.8,"Other specified disorders of white blood cells"
subcategory,D72.9,"Disorder of white blood cells, unspecified"
subcategory,D73.0,"Hyposplenism"
subcategory,D73.1,"Hypersplenism"
subcategory,D73.2,"Chronic congestive splenomegaly"
subcategory,D73.3,"Abscess of spleen"
subcategory,D73.4,"Cyst of spleen"
subcategory,D73.5,"Infarction of spleen"
subcategory,D73.8,"Other diseases of spleen"
subcategory,D73.9,"Disease of spleen, unspecified"
subcategory,D74.0,"Congenital methaemoglobinaemia"
subcategory,D74.8,"Other methaemoglobinaemias"
subcategory,D74.9,"Methaemoglobinaemia, unspecified"
subcategory,D75.0,"Familial erythrocytosis"
subcategory,D75.1,"Secondary polycythaemia"
subcategory,D75.8,"Other specified diseases of blood and blood-forming organs"
subcategory,D75.9,"Disease of blood and blood-forming organs, unspecified"
subcategory,D76.1,"Haemophagocytic lymphohistiocytosis"
subcategory,D76.2,"Haemophagocytic syndrome, infection-associated"
subcategory,D76.3,"Other histiocytosis syndromes"
category,D77,"Other disorders of blood and blood-forming organs in diseases classified elsewhere"
subcategory,D80.0,"Hereditary hypogammaglobulinaemia"
subcategory,D80.1,"Nonfamilial hypogammaglobulinaemia"
subcategory,D80.2,"Selective deficiency of immunoglobulin A [IgA]"
subcategory,D80.3,"Selective deficiency of immunoglobulin G [IgG] subclasses"
subcategory,D80.4,"Selective deficiency of immunoglobulin M [IgM]"
subcategory,D80.5,"Immunodeficiency with increased immunoglobulin M [IgM]"
subcategory,D80.6,"Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia"
subcategory,D80.7,"Transient hypogammaglobulinaemia of infancy"
subcategory,D80.8,"Other immunodeficiencies with predominantly antibody defects"
subcategory,D80.9,"Immunodeficiency with predominantly antibody defects, unspecified"
subcategory,D81.0,"Severe combined immunodeficiency [SCID] with reticular dysgenesis"
subcategory,D81.1,"Severe combined immunodeficiency [SCID] with low T- and B-cell numbers"
subcategory,D81.2,"Severe combined immunodeficiency [SCID] with low or normal B-cell numbers"
subcategory,D81.3,"Adenosine deaminase [ADA] deficiency"
subcategory,D81.4,"Nezelof syndrome"
subcategory,D81.5,"Purine nucleoside phosphorylase [PNP] deficiency"
subcategory,D81.6,"Major histocompatibility complex class I deficiency"
subcategory,D81.7,"Major histocompatibility complex class II deficiency"
subcategory,D81.8,"Other combined immunodeficiencies"
subcategory,D81.9,"Combined immunodeficiency, unspecified"
subcategory,D82.0,"Wiskott-Aldrich syndrome"
subcategory,D82.1,"Di George syndrome"
subcategory,D82.2,"Immunodeficiency with short-limbed stature"
subcategory,D82.3,"Immunodeficiency following hereditary defective response to Epstein-Barr virus"
subcategory,D82.4,"Hyperimmunoglobulin E [IgE] syndrome"
subcategory,D82.8,"Immunodeficiency associated with other specified major defects"
subcategory,D82.9,"Immunodeficiency associated with major defect, unspecified"
subcategory,D83.0,"Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function"
subcategory,D83.1,"Common variable immunodeficiency with predominant immunoregulatory T-cell disorders"
subcategory,D83.2,"Common variable immunodeficiency with autoantibodies to B- or T-cells"
subcategory,D83.8,"Other common variable immunodeficiencies"
subcategory,D83.9,"Common variable immunodeficiency, unspecified"
subcategory,D84.0,"Lymphocyte function antigen-1 [LFA-1] defect"
subcategory,D84.1,"Defects in the complement system"
subcategory,D84.8,"Other specified immunodeficiencies"
subcategory,D84.9,"Immunodeficiency, unspecified"
subcategory,D86.0,"Sarcoidosis of lung"
subcategory,D86.1,"Sarcoidosis of lymph nodes"
subcategory,D86.2,"Sarcoidosis of lung with sarcoidosis of lymph nodes"
subcategory,D86.3,"Sarcoidosis of skin"
subcategory,D86.8,"Sarcoidosis of other and combined sites"
subcategory,D86.9,"Sarcoidosis, unspecified"
subcategory,D89.0,"Polyclonal hypergammaglobulinaemia"
subcategory,D89.1,"Cryoglobulinaemia"
subcategory,D89.2,"Hypergammaglobulinaemia, unspecified"
subcategory,D89.3,"Immune reconstitution syndrome"
subcategory,D89.8,"Other specified disorders involving the immune mechanism, not elsewhere classified"
subcategory,D89.9,"Disorder involving the immune mechanism, unspecified"
subcategory,C00.0,"Malignant neoplasm: External upper lip"
subcategory,C00.1,"Malignant neoplasm: External lower lip"
subcategory,C00.2,"Malignant neoplasm: External lip, unspecified"
subcategory,C00.3,"Malignant neoplasm: Upper lip, inner aspect"
subcategory,C00.4,"Malignant neoplasm: Lower lip, inner aspect"
subcategory,C00.5,"Malignant neoplasm: Lip, unspecified, inner aspect"
subcategory,C00.6,"Malignant neoplasm: Commissure of lip"
subcategory,C00.8,"Malignant neoplasm: Overlapping lesion of lip"
subcategory,C00.9,"Malignant neoplasm: Lip, unspecified"
category,C01,"Malignant neoplasm of base of tongue"
subcategory,C02.0,"Malignant neoplasm: Dorsal surface of tongue"
subcategory,C02.1,"Malignant neoplasm: Border of tongue"
subcategory,C02.2,"Malignant neoplasm: Ventral surface of tongue"
subcategory,C02.3,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
subcategory,C02.4,"Malignant neoplasm: Lingual tonsil"
subcategory,C02.8,"Malignant neoplasm: Overlapping lesion of tongue"
subcategory,C02.9,"Malignant neoplasm: Tongue, unspecified"
subcategory,C03.0,"Malignant neoplasm: Upper gum"
subcategory,C03.1,"Malignant neoplasm: Lower gum"
subcategory,C03.9,"Malignant neoplasm: Gum, unspecified"
subcategory,C04.0,"Malignant neoplasm: Anterior floor of mouth"
subcategory,C04.1,"Malignant neoplasm: Lateral floor of mouth"
subcategory,C04.8,"Malignant neoplasm: Overlapping lesion of floor of mouth"
subcategory,C04.9,"Malignant neoplasm: Floor of mouth, unspecified"
subcategory,C05.0,"Malignant neoplasm: Hard palate"
subcategory,C05.1,"Malignant neoplasm: Soft palate"
subcategory,C05.2,"Malignant neoplasm: Uvula"
subcategory,C05.8,"Malignant neoplasm: Overlapping lesion of palate"
subcategory,C05.9,"Malignant neoplasm: Palate, unspecified"
subcategory,C06.0,"Malignant neoplasm: Cheek mucosa"
subcategory,C06.1,"Malignant neoplasm: Vestibule of mouth"
subcategory,C06.2,"Malignant neoplasm: Retromolar area"
subcategory,C06.8,"Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth"
subcategory,C06.9,"Malignant neoplasm: Mouth, unspecified"
category,C07,"Malignant neoplasm of parotid gland"
subcategory,C08.0,"Malignant neoplasm: Submandibular gland"
subcategory,C08.1,"Malignant neoplasm: Sublingual gland"
subcategory,C08.8,"Malignant neoplasm: Overlapping lesion of major salivary glands"
subcategory,C08.9,"Malignant neoplasm: Major salivary gland, unspecified"
subcategory,C09.0,"Malignant neoplasm: Tonsillar fossa"
subcategory,C09.1,"Malignant neoplasm: Tonsillar pillar (anterior)(posterior)"
subcategory,C09.8,"Malignant neoplasm: Overlapping lesion of tonsil"
subcategory,C09.9,"Malignant neoplasm: Tonsil, unspecified"
subcategory,C10.0,"Malignant neoplasm: Vallecula"
subcategory,C10.1,"Malignant neoplasm: Anterior surface of epiglottis"
subcategory,C10.2,"Malignant neoplasm: Lateral wall of oropharynx"
subcategory,C10.3,"Malignant neoplasm: Posterior wall of oropharynx"
subcategory,C10.4,"Malignant neoplasm: Branchial cleft"
subcategory,C10.8,"Malignant neoplasm: Overlapping lesion of oropharynx"
subcategory,C10.9,"Malignant neoplasm: Oropharynx, unspecified"
subcategory,C11.0,"Malignant neoplasm: Superior wall of nasopharynx"
subcategory,C11.1,"Malignant neoplasm: Posterior wall of nasopharynx"
subcategory,C11.2,"Malignant neoplasm: Lateral wall of nasopharynx"
subcategory,C11.3,"Malignant neoplasm: Anterior wall of nasopharynx"
subcategory,C11.8,"Malignant neoplasm: Overlapping lesion of nasopharynx"
subcategory,C11.9,"Malignant neoplasm: Nasopharynx, unspecified"
category,C12,"Malignant neoplasm of piriform sinus"
subcategory,C13.0,"Malignant neoplasm: Postcricoid region"
subcategory,C13.1,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect"
subcategory,C13.2,"Malignant neoplasm: Posterior wall of hypopharynx"
subcategory,C13.8,"Malignant neoplasm: Overlapping lesion of hypopharynx"
subcategory,C13.9,"Malignant neoplasm: Hypopharynx, unspecified"
subcategory,C14.0,"Malignant neoplasm: Pharynx, unspecified"
subcategory,C14.2,"Malignant neoplasm: Waldeyer ring"
subcategory,C14.8,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
subcategory,C15.0,"Malignant neoplasm: Cervical part of oesophagus"
subcategory,C15.1,"Malignant neoplasm: Thoracic part of oesophagus"
subcategory,C15.2,"Malignant neoplasm: Abdominal part of oesophagus"
subcategory,C15.3,"Malignant neoplasm: Upper third of oesophagus"
subcategory,C15.4,"Malignant neoplasm: Middle third of oesophagus"
subcategory,C15.5,"Malignant neoplasm: Lower third of oesophagus"
subcategory,C15.8,"Malignant neoplasm: Overlapping lesion of oesophagus"
subcategory,C15.9,"Malignant neoplasm: Oesophagus, unspecified"
subcategory,C16.0,"Malignant neoplasm: Cardia"
subcategory,C16.1,"Malignant neoplasm: Fundus of stomach"
subcategory,C16.2,"Malignant neoplasm: Body of stomach"
subcategory,C16.3,"Malignant neoplasm: Pyloric antrum"
subcategory,C16.4,"Malignant neoplasm: Pylorus"
subcategory,C16.5,"Malignant neoplasm: Lesser curvature of stomach, unspecified"
subcategory,C16.6,"Malignant neoplasm: Greater curvature of stomach, unspecified"
subcategory,C16.8,"Malignant neoplasm: Overlapping lesion of stomach"
subcategory,C16.9,"Malignant neoplasm: Stomach, unspecified"
subcategory,C17.0,"Malignant neoplasm: Duodenum"
subcategory,C17.1,"Malignant neoplasm: Jejunum"
subcategory,C17.2,"Malignant neoplasm: Ileum"
subcategory,C17.3,"Malignant neoplasm: Meckel diverticulum"
subcategory,C17.8,"Malignant neoplasm: Overlapping lesion of small intestine"
subcategory,C17.9,"Malignant neoplasm: Small intestine, unspecified"
subcategory,C18.0,"Malignant neoplasm: Caecum"
subcategory,C18.1,"Malignant neoplasm: Appendix"
subcategory,C18.2,"Malignant neoplasm: Ascending colon"
subcategory,C18.3,"Malignant neoplasm: Hepatic flexure"
subcategory,C18.4,"Malignant neoplasm: Transverse colon"
subcategory,C18.5,"Malignant neoplasm: Splenic flexure"
subcategory,C18.6,"Malignant neoplasm: Descending colon"
subcategory,C18.7,"Malignant neoplasm: Sigmoid colon"
subcategory,C18.8,"Malignant neoplasm: Overlapping lesion of colon"
subcategory,C18.9,"Malignant neoplasm: Colon, unspecified"
category,C19,"Malignant neoplasm of rectosigmoid junction"
category,C20,"Malignant neoplasm of rectum"
subcategory,C21.0,"Malignant neoplasm: Anus, unspecified"
subcategory,C21.1,"Malignant neoplasm: Anal canal"
subcategory,C21.2,"Malignant neoplasm: Cloacogenic zone"
subcategory,C21.8,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal"
subcategory,C22.0,"Malignant neoplasm: Liver cell carcinoma"
subcategory,C22.1,"Malignant neoplasm: Intrahepatic bile duct carcinoma"
subcategory,C22.2,"Malignant neoplasm: Hepatoblastoma"
subcategory,C22.3,"Malignant neoplasm: Angiosarcoma of liver"
subcategory,C22.4,"Malignant neoplasm: Other sarcomas of liver"
subcategory,C22.7,"Malignant neoplasm: Other specified carcinomas of liver"
subcategory,C22.9,"Malignant neoplasm: Liver, unspecified"
category,C23,"Malignant neoplasm of gallbladder"
subcategory,C24.0,"Malignant neoplasm: Extrahepatic bile duct"
subcategory,C24.1,"Malignant neoplasm: Ampulla of Vater"
subcategory,C24.8,"Malignant neoplasm: Overlapping lesion of biliary tract"
subcategory,C24.9,"Malignant neoplasm: Biliary tract, unspecified"
subcategory,C25.0,"Malignant neoplasm: Head of pancreas"
subcategory,C25.1,"Malignant neoplasm: Body of pancreas"
subcategory,C25.2,"Malignant neoplasm: Tail of pancreas"
subcategory,C25.3,"Malignant neoplasm: Pancreatic duct"
subcategory,C25.4,"Malignant neoplasm: Endocrine pancreas"
subcategory,C25.7,"Malignant neoplasm: Other parts of pancreas"
subcategory,C25.8,"Malignant neoplasm: Overlapping lesion of pancreas"
subcategory,C25.9,"Malignant neoplasm: Pancreas, unspecified"
subcategory,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified"
subcategory,C26.1,"Malignant neoplasm: Spleen"
subcategory,C26.8,"Malignant neoplasm: Overlapping lesion of digestive system"
subcategory,C26.9,"Malignant neoplasm: Ill-defined sites within the digestive system"
subcategory,C30.0,"Malignant neoplasm: Nasal cavity"
subcategory,C30.1,"Malignant neoplasm: Middle ear"
subcategory,C31.0,"Malignant neoplasm: Maxillary sinus"
subcategory,C31.1,"Malignant neoplasm: Ethmoidal sinus"
subcategory,C31.2,"Malignant neoplasm: Frontal sinus"
subcategory,C31.3,"Malignant neoplasm: Sphenoidal sinus"
subcategory,C31.8,"Malignant neoplasm: Overlapping lesion of accessory sinuses"
subcategory,C31.9,"Malignant neoplasm: Accessory sinus, unspecified"
subcategory,C32.0,"Malignant neoplasm: Glottis"
subcategory,C32.1,"Malignant neoplasm: Supraglottis"
subcategory,C32.2,"Malignant neoplasm: Subglottis"
subcategory,C32.3,"Malignant neoplasm: Laryngeal cartilage"
subcategory,C32.8,"Malignant neoplasm: Overlapping lesion of larynx"
subcategory,C32.9,"Malignant neoplasm: Larynx, unspecified"
category,C33,"Malignant neoplasm of trachea"
subcategory,C34.0,"Malignant neoplasm: Main bronchus"
subcategory,C34.1,"Malignant neoplasm: Upper lobe, bronchus or lung"
subcategory,C34.2,"Malignant neoplasm: Middle lobe, bronchus or lung"
subcategory,C34.3,"Malignant neoplasm: Lower lobe, bronchus or lung"
subcategory,C34.8,"Malignant neoplasm: Overlapping lesion of bronchus and lung"
subcategory,C34.9,"Malignant neoplasm: Bronchus or lung, unspecified"
category,C37,"Malignant neoplasm of thymus"
subcategory,C38.0,"Malignant neoplasm: Heart"
subcategory,C38.1,"Malignant neoplasm: Anterior mediastinum"
subcategory,C38.2,"Malignant neoplasm: Posterior mediastinum"
subcategory,C38.3,"Malignant neoplasm: Mediastinum, part unspecified"
subcategory,C38.4,"Malignant neoplasm: Pleura"
subcategory,C38.8,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura"
subcategory,C39.0,"Malignant neoplasm: Upper respiratory tract, part unspecified"
subcategory,C39.8,"Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs"
subcategory,C39.9,"Malignant neoplasm: Ill-defined sites within the respiratory system"
subcategory,C40.0,"Malignant neoplasm: Scapula and long bones of upper limb"
subcategory,C40.1,"Malignant neoplasm: Short bones of upper limb"
subcategory,C40.2,"Malignant neoplasm: Long bones of lower limb"
subcategory,C40.3,"Malignant neoplasm: Short bones of lower limb"
subcategory,C40.8,"Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs"
subcategory,C40.9,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified"
subcategory,C41.0,"Malignant neoplasm: Bones of skull and face"
subcategory,C41.1,"Malignant neoplasm: Mandible"
subcategory,C41.2,"Malignant neoplasm: Vertebral column"
subcategory,C41.3,"Malignant neoplasm: Ribs, sternum and clavicle"
subcategory,C41.4,"Malignant neoplasm: Pelvic bones, sacrum and coccyx"
subcategory,C41.8,"Malignant neoplasm: Overlapping lesion of bone and articular cartilage"
subcategory,C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified"
subcategory,C43.0,"Malignant neoplasm: Malignant melanoma of lip"
subcategory,C43.1,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus"
subcategory,C43.2,"Malignant neoplasm: Malignant melanoma of ear and external auricular canal"
subcategory,C43.3,"Malignant neoplasm: Malignant melanoma of other and unspecified parts of face"
subcategory,C43.4,"Malignant neoplasm: Malignant melanoma of scalp and neck"
subcategory,C43.5,"Malignant neoplasm: Malignant melanoma of trunk"
subcategory,C43.6,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
subcategory,C43.7,"Malignant neoplasm: Malignant melanoma of lower limb, including hip"
subcategory,C43.8,"Malignant neoplasm: Overlapping malignant melanoma of skin"
subcategory,C43.9,"Malignant neoplasm: Malignant melanoma of skin, unspecified"
subcategory,C44.0,"Malignant neoplasm: Skin of lip"
subcategory,C44.1,"Malignant neoplasm: Skin of eyelid, including canthus"
subcategory,C44.2,"Malignant neoplasm: Skin of ear and external auricular canal"
subcategory,C44.3,"Malignant neoplasm: Skin of other and unspecified parts of face"
subcategory,C44.4,"Malignant neoplasm: Skin of scalp and neck"
subcategory,C44.5,"Malignant neoplasm: Skin of trunk"
subcategory,C44.6,"Malignant neoplasm: Skin of upper limb, including shoulder"
subcategory,C44.7,"Malignant neoplasm: Skin of lower limb, including hip"
subcategory,C44.8,"Malignant neoplasm: Overlapping lesion of skin"
subcategory,C44.9,"Malignant neoplasm: Malignant neoplasm of skin, unspecified"
subcategory,C45.0,"Mesothelioma of pleura"
subcategory,C45.1,"Mesothelioma of peritoneum"
subcategory,C45.2,"Mesothelioma of pericardium"
subcategory,C45.7,"Mesothelioma of other sites"
subcategory,C45.9,"Mesothelioma, unspecified"
subcategory,C46.0,"Kaposi sarcoma of skin"
subcategory,C46.1,"Kaposi sarcoma of soft tissue"
subcategory,C46.2,"Kaposi sarcoma of palate"
subcategory,C46.3,"Kaposi sarcoma of lymph nodes"
subcategory,C46.7,"Kaposi sarcoma of other sites"
subcategory,C46.8,"Kaposi sarcoma of multiple organs"
subcategory,C46.9,"Kaposi sarcoma, unspecified"
subcategory,C47.0,"Malignant neoplasm: Peripheral nerves of head, face and neck"
subcategory,C47.1,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder"
subcategory,C47.2,"Malignant neoplasm: Peripheral nerves of lower limb, including hip"
subcategory,C47.3,"Malignant neoplasm: Peripheral nerves of thorax"
subcategory,C47.4,"Malignant neoplasm: Peripheral nerves of abdomen"
subcategory,C47.5,"Malignant neoplasm: Peripheral nerves of pelvis"
subcategory,C47.6,"Malignant neoplasm: Peripheral nerves of trunk, unspecified"
subcategory,C47.8,"Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system"
subcategory,C47.9,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified"
subcategory,C48.0,"Malignant neoplasm: Retroperitoneum"
subcategory,C48.1,"Malignant neoplasm: Specified parts of peritoneum"
subcategory,C48.2,"Malignant neoplasm: Peritoneum, unspecified"
subcategory,C48.8,"Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum"
subcategory,C49.0,"Malignant neoplasm: Connective and soft tissue of head, face and neck"
subcategory,C49.1,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder"
subcategory,C49.2,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip"
subcategory,C49.3,"Malignant neoplasm: Connective and soft tissue of thorax"
subcategory,C49.4,"Malignant neoplasm: Connective and soft tissue of abdomen"
subcategory,C49.5,"Malignant neoplasm: Connective and soft tissue of pelvis"
subcategory,C49.6,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified"
subcategory,C49.8,"Malignant neoplasm: Overlapping lesion of connective and soft tissue"
subcategory,C49.9,"Malignant neoplasm: Connective and soft tissue, unspecified"
subcategory,C50.0,"Malignant neoplasm: Nipple and areola"
subcategory,C50.1,"Malignant neoplasm: Central portion of breast"
subcategory,C50.2,"Malignant neoplasm: Upper-inner quadrant of breast"
subcategory,C50.3,"Malignant neoplasm: Lower-inner quadrant of breast"
subcategory,C50.4,"Malignant neoplasm: Upper-outer quadrant of breast"
subcategory,C50.5,"Malignant neoplasm: Lower-outer quadrant of breast"
subcategory,C50.6,"Malignant neoplasm: Axillary tail of breast"
subcategory,C50.8,"Malignant neoplasm: Overlapping lesion of breast"
subcategory,C50.9,"Malignant neoplasm: Breast, unspecified"
subcategory,C51.0,"Malignant neoplasm: Labium majus"
subcategory,C51.1,"Malignant neoplasm: Labium minus"
subcategory,C51.2,"Malignant neoplasm: Clitoris"
subcategory,C51.8,"Malignant neoplasm: Overlapping lesion of vulva"
subcategory,C51.9,"Malignant neoplasm: Vulva, unspecified"
category,C52,"Malignant neoplasm of vagina"
subcategory,C53.0,"Malignant neoplasm: Endocervix"
subcategory,C53.1,"Malignant neoplasm: Exocervix"
subcategory,C53.8,"Malignant neoplasm: Overlapping lesion of cervix uteri"
subcategory,C53.9,"Malignant neoplasm: Cervix uteri, unspecified"
subcategory,C54.0,"Malignant neoplasm: Isthmus uteri"
subcategory,C54.1,"Malignant neoplasm: Endometrium"
subcategory,C54.2,"Malignant neoplasm: Myometrium"
subcategory,C54.3,"Malignant neoplasm: Fundus uteri"
subcategory,C54.8,"Malignant neoplasm: Overlapping lesion of corpus uteri"
subcategory,C54.9,"Malignant neoplasm: Corpus uteri, unspecified"
category,C55,"Malignant neoplasm of uterus, part unspecified"
category,C56,"Malignant neoplasm of ovary"
subcategory,C57.0,"Malignant neoplasm: Fallopian tube"
subcategory,C57.1,"Malignant neoplasm: Broad ligament"
subcategory,C57.2,"Malignant neoplasm: Round ligament"
subcategory,C57.3,"Malignant neoplasm: Parametrium"
subcategory,C57.4,"Malignant neoplasm: Uterine adnexa, unspecified"
subcategory,C57.7,"Malignant neoplasm: Other specified female genital organs"
subcategory,C57.8,"Malignant neoplasm: Overlapping lesion of female genital organs"
subcategory,C57.9,"Malignant neoplasm: Female genital organ, unspecified"
category,C58,"Malignant neoplasm of placenta"
subcategory,C60.0,"Malignant neoplasm: Prepuce"
subcategory,C60.1,"Malignant neoplasm: Glans penis"
subcategory,C60.2,"Malignant neoplasm: Body of penis"
subcategory,C60.8,"Malignant neoplasm: Overlapping lesion of penis"
subcategory,C60.9,"Malignant neoplasm: Penis, unspecified"
category,C61,"Malignant neoplasm of prostate"
subcategory,C62.0,"Malignant neoplasm: Undescended testis"
subcategory,C62.1,"Malignant neoplasm: Descended testis"
subcategory,C62.9,"Malignant neoplasm: Testis, unspecified"
subcategory,C63.0,"Malignant neoplasm: Epididymis"
subcategory,C63.1,"Malignant neoplasm: Spermatic cord"
subcategory,C63.2,"Malignant neoplasm: Scrotum"
subcategory,C63.7,"Malignant neoplasm: Other specified male genital organs"
subcategory,C63.8,"Malignant neoplasm: Overlapping lesion of male genital organs"
subcategory,C63.9,"Malignant neoplasm: Male genital organ, unspecified"
category,C64,"Malignant neoplasm of kidney, except renal pelvis"
category,C65,"Malignant neoplasm of renal pelvis"
category,C66,"Malignant neoplasm of ureter"
