icd10code,symptoms
A26.0,"fever, headache, nausea, rash, muscle pain"
A26.7,"fever, fatigue, headache, swollen lymph nodes, muscle pain"
A26.8,"fever, skin ulcers, headache, joint pain, fatigue"
A26.9,"fever, headache, muscle pain, rash, fatigue"
A27.0,"fever, headache, myalgia, nausea, vomiting"
A27.8,"fever, headache, myalgia, chills, nausea"
A27.9,"fever, headache, muscle pain, nausea, vomiting"
A28.0,"fever, headache, muscle pain, rash, swollen lymph nodes"
A28.1,"fever, headache, muscle pain, nausea, swollen lymph nodes"
A28.2,"fever, headache, muscle pain, chills, rash"
A28.8,"fever, headache, muscle pain, joint pain, fatigue"
A28.9,"fever, headache, muscle pain, fatigue, chills"
A30.0,"hypopigmented skin patches, numbness, muscle weakness, eye problems, nasal congestion"
A30.1,"skin lesions, peripheral nerve damage, numbness, muscle weakness, loss of sensation"
A30.2,"hypopigmented skin lesions, muscle weakness, numbness, loss of sensation, peripheral nerve involvement"
A30.3,"numbness, muscle weakness, thickened skin, loss of sensation, nodules"
A30.4,"hypopigmented skin patches, numbness in affected areas, muscle weakness, thickened peripheral nerves, skin dryness"
A30.5,"skin lesions, numbness, muscle weakness, eye damage, loss of skin sensation"
A30.8,"hypopigmented skin patches, loss of sensation in affected areas, muscle weakness, thickened nerves, skin nodules"
A30.9,"hypopigmented skin lesions, nerve thickening, muscle weakness, numbness, skin nodules"
A31.0,"cough, fever, weight loss, chest pain, night sweats"
A31.1,"chronic cough, fever, night sweats, weight loss, fatigue"
A31.8,"fatigue, cough, weight loss, fever, night sweats"
A31.9,"cough, fever, weight loss, night sweats, fatigue"
A32.0,"fever, headache, stiff neck, nausea, muscle aches"
A32.1,"fever, headache, muscle aches, sore throat, gastrointestinal symptoms"
A32.7,"fever, headache, muscle aches, nausea, diarrhea"
A32.8,"fever, headache, muscle pain, nausea, vomiting"
A32.9,"fever, headache, muscle aches, nausea, vomiting"
A33,"poor feeding, irritability, muscle stiffness, spasms, difficulty swallowing"
A34,"fever, abdominal pain, headache, muscle pain, fatigue"
A35,"fever, stiff neck, muscle spasms, headache, difficulty swallowing"
A36.0,"sore throat, fever, difficulty breathing, malaise, swollen neck glands"
A36.1,"fever, sore throat, swollen neck glands, gray membrane on tonsils, difficulty breathing"
A36.2,"fever, sore throat, difficulty swallowing, swollen neck glands, malaise"
A36.3,"pharyngitis, sore throat, difficulty swallowing, swollen neck glands, fever"
A36.8,"sore throat, fever, swollen lymph nodes, difficulty breathing, fatigue"
A36.9,"fever, sore throat, swollen neck glands, difficulty breathing, pseudomembrane formation"
A37.0,"severe coughing spells, whooping sound, post-cough vomiting, fatigue, mild fever"
A37.1,"paroxysmal coughing, inspiratory whoop, post-tussive vomiting, apnea, cyanosis"
A37.8,"cough, fever, runny nose, difficulty breathing, fatigue"
A37.9,"persistent cough, whooping sound, nasal congestion, fever, fatigue"
A38,"fever, sore throat, rash, headache, fatigue"
A39.0,"fever, neck stiffness, headache, sensitivity to light, nausea"
A39.1,"fever, headache, stiff neck, nausea, vomiting"
A39.2,"fever, headache, stiff neck, nausea, vomiting"
A39.3,"fever, headache, neck stiffness, nausea, vomiting"
A39.4,"fever, headache, neck stiffness, altered consciousness, skin rash"
A39.5,"fever, headache, vomiting, stiff neck, skin rash"
A39.8,"fever, headache, stiff neck, nausea, photophobia"
A39.9,"fever, headache, stiff neck, rash, sensitivity to light"
A40.0,"fever, chills, rapid breathing, rapid heart rate, low blood pressure"
A40.1,"fever, chills, rapid breathing, confusion, low blood pressure"
A40.2,"fever, rapid breathing, confusion, low blood pressure, chills"
A40.3,"fever, chills, malaise, rapid breathing, low blood pressure"
A40.8,"fever, chills, rapid heartbeat, confusion, low blood pressure"
A40.9,"fever, chills, rapid breathing, rapid heart rate, confusion"
A41.0,"fever, chills, rapid breathing, confusion, low blood pressure"
A41.1,"fever, chills, rapid heartbeat, low blood pressure, mental confusion"
A41.2,"fever, chills, rapid breathing, confusion, low blood pressure"
A41.3,"fever, chills, rapid breathing, confusion, low blood pressure"
A41.4,"fever, chills, rapid heartbeat, confusion, low blood pressure"
A41.5,"fever, rapid breathing, confusion, low blood pressure, increased heart rate"
A41.8,"fever, chills, rapid heartbeat, confusion, low blood pressure"
A41.9,"fever, chills, rapid breathing, rapid heart rate, confusion"
A42.0,"fever, malaise, cough, shortness of breath, chest pain"
A42.1,"fever, cough, chest pain, weight loss, shortness of breath"
A42.2,"fever, fatigue, cough, shortness of breath, chest pain"
A42.7,"fever, headache, myalgia, rash, swollen lymph nodes"
A42.8,"fever, malaise, joint pain, skin nodules, cough"
A42.9,"fever, cough, chest pain, fatigue, night sweats"
A43.0,"fever, chills, skin ulcers, swollen lymph nodes, fatigue"
A43.1,"fever, headache, muscle pain, skin ulcer, swollen lymph nodes"
A43.8,"fever, cough, fatigue, headache, muscle pain"
A43.9,"fever, headache, muscle pain, fatigue, swollen lymph nodes"
A44.0,"fever, headache, muscle pain, enlarged lymph nodes, rash"
A44.1,"fever, headache, muscle aches, malaise, regional lymphadenopathy"
A44.8,"fever, headache, muscle aches, rash, swollen lymph nodes"
A44.9,"fever, headache, muscle pain, joint pain, swollen lymph nodes"
A46,"fever, redness, warmth, swelling, pain"
A48.0,"fever, headache, muscle pain, nausea, vomiting"
A48.1,"fever, dry cough, difficulty breathing, muscle aches, fatigue"
A48.2,"fever, chills, muscle pain, cough, shortness of breath"
A48.3,"fever, headache, nausea, muscle pain, abdominal pain"
A48.4,"sudden fever, muscle aches, headache, chills, shortness of breath"
A48.8,"fever, headache, muscle pain, fatigue, sore throat"
A49.0,"fever, chills, malaise, inflammation, skin irritation"
A49.1,"fever, sore throat, pain on swallowing, swollen lymph nodes, headache"
A49.2,"fever, chills, body aches, cough, fatigue"
A49.3,"fever, chills, sore throat, cough, fatigue"
A49.8,"fever, fatigue, muscle aches, headache, cough"
A49.9,"fever, fatigue, chills, malaise, headache"
A50.0,"fever, rash, nasal discharge, hepatosplenomegaly, bone abnormalities"
A50.1,"rash, fever, swollen lymph nodes, muscle aches, fatigue"
A50.2,"hearing loss, bone abnormalities, anemia, fever, skin rash"
A50.3,"hepatomegaly, splenomegaly, skin rash, lymphadenopathy, anemia"
A50.4,"hepatosplenomegaly, rash, bone pain, fever, jaundice"
A50.5,"hepatosplenomegaly, jaundice, nasal discharge, skin rash, anemia"
A50.6,"hutchinson's teeth, interstitial keratitis, deafness, saddle nose, frontal bossing"
A50.7,"rash, fever, swollen lymph nodes, irritability, jaundice"
A50.9,"fever, rash, swollen lymph nodes, irritability, poor feeding"
A51.0,"genital ulcers, lymphadenopathy, pain during urination, fever, rash"
A51.1,"genital ulcers, lymphadenopathy, fever, malaise, headache"
A51.2,"genital ulcers, swollen lymph nodes, fever, headache, fatigue"
A51.3,"genital ulcers, lymphadenopathy, fever, rash, malaise"
A51.4,"genital ulcers, inguinal lymphadenopathy, painless sore, skin rash, mucous membrane lesions"
A51.5,"genital ulcers, swollen lymph nodes, fever, headache, muscle aches"
A51.9,"genital sores, fever, swollen lymph nodes, rash, fatigue"
A52.0,"general paresis, memory loss, personality changes, dysarthria, seizures"
A52.1,"heart complications, neurological symptoms, aortic inflammation, skin lesions, joint pain"
A52.2,"neurological deficits, gait disturbances, personality changes, cognitive decline, bladder dysfunction"
A52.3,"dementia, tabes dorsalis, argyll robertson pupil, lower limb pain, bladder dysfunction"
A52.7,"nerve pain, muscle weakness, coordination problems, vision changes, cognitive impairment"
A52.8,"gait abnormalities, vision problems, cognitive decline, muscle weakness, tremors"
A52.9,"fatigue, fever, headache, rash, muscle aches"
A53.0,"rash, fever, sore throat, swollen lymph nodes, fatigue"
A53.9,"fever, rash, fatigue, sore throat, headache"
A54.0,"dysuria, purulent urethral discharge, urethral itching, urinary frequency, painful urination"
A54.1,"urethral discharge, burning sensation during urination, increased frequency of urination, abdominal pain, urgency to urinate"
A54.2,"dysuria, purulent discharge, pelvic pain, urethral inflammation, urinary frequency"
A54.3,"dysuria, urinary frequency, pelvic pain, mucopurulent discharge, intermenstrual bleeding"
A54.4,"dysuria, urethral discharge, pelvic pain, increased urinary frequency, genital itching"
A54.5,"urethral discharge, painful urination, itching, redness, swelling in genital area"
A54.6,"urethral discharge, dysuria, urinary frequency, penile itching, testicular pain"
A54.8,"dysuria, urethral discharge, pelvic pain, testicular pain, genital swelling"
A54.9,"painful urination, genital sores, penile discharge, fever, swollen lymph nodes"
A55,"urethral discharge, burning sensation during urination, pain during intercourse, itching in genital area, lower abdominal pain"
A56.0,"painful urination, genital discharge, testicular pain, pelvic pain, genital itching"
A56.1,"vaginal discharge, pelvic pain, pain during urination, bleeding between periods, genital itching"
A56.2,"dysuria, frequent urination, urethral discharge, pelvic pain, genital irritation"
A56.3,"asymptomatic, dysuria, discharge, pelvic pain, urethritis"
A56.4,"pain during urination, genital itching, penile discharge, urinary frequency, scrotal pain"
A56.8,"pelvic pain, dysuria, vaginal discharge, urethral discharge, genital irritation"
A57,"painful urination, genital sores, swollen lymph nodes, fever, malaise"
A58,"swollen lymph nodes, fever, headache, sore throat, skin rash"
A59.0,"itching, burning sensation, vaginal discharge, redness, pain during intercourse"
A59.8,"genital itching, pelvic pain, vaginal discharge, urethral discharge, dysuria"
A59.9,"genital itching, vaginal discharge, abdominal pain, painful urination, pain during intercourse"
A60.0,"painful genital ulcers, itching, dysuria, inguinal lymphadenopathy, fever"
A60.1,"genital lesions, itching, pain during urination, flu-like symptoms, swollen lymph nodes"
A60.9,"blisters, itching, pain, burning sensation, swollen lymph nodes"
A63.0,"warts, itching, discomfort, burning sensation, lesions"
A63.8,"rashes, itching, bumps, warts, irritation"
A64,"asymptomatic, discharge, burning sensation, itching, discomfort"
A65,"fever, rash, sore throat, joint pain, swollen lymph nodes"
A66.0,"primary chancre, painless ulcer, swollen lymph nodes, fever, malaise"
A66.1,"skin ulcers, painful swollen lymph nodes, fever, fatigue, secondary bacterial infections"
A66.2,"skin ulcers, fever, swollen lymph nodes, sore throat, muscle pain"
A66.3,"bone pain, skin lesions, swelling, fatigue, joint pain"
A66.4,"skin lesions, rashes, swollen lymph nodes, fever, bone pain"
A66.5,"bone pain, skin ulcers, fever, weight loss, anemia"
A66.6,"bone pain, fever, malaise, skin lesions, lymphadenopathy"
A66.7,"skin ulcers, swollen lymph nodes, fever, headache, general malaise"
A66.8,"skin ulcers, fever, headache, swollen lymph nodes, rash"
A66.9,"swollen lymph nodes, ulcerative skin lesions, fever, muscle aches, fatigue"
A67.0,"fever, headache, muscle pain, rash, swollen lymph nodes"
A67.1,"rose spots, fever, malaise, headache, myalgia"
A67.2,"fever, headache, muscle pain, rash, swollen lymph nodes"
A67.3,"fever, headache, muscle pain, rash, fatigue"
A67.9,"fever, headache, muscle pain, rash, general malaise"
A68.0,"fever, headache, nausea, muscle pain, skin rash"
A68.1,"fever, headache, muscle pain, rash, swollen lymph nodes"
A68.9,"fever, headache, muscle pain, rash, chills"
A69.0,"fever, headache, stiff neck, muscle pain, fatigue"
A69.1,"headache, fever, muscle pain, fatigue, neurological symptoms"
A69.2,"fever, headache, neck stiffness, muscle pain, nausea"
A69.8,"fever, headache, muscle pain, skin rash, chills"
A69.9,"fever, headache, fatigue, muscle aches, rash"
A70,"fever, headache, muscle pains, dry cough, fatigue"
A71.0,"conjunctival redness, eye discharge, irritation, tearing, reduced vision"
A71.1,"conjunctival redness, eye discharge, eyelid swelling, photophobia, eye irritation"
A71.9,"conjunctival redness, eye discharge, eyelid swelling, eye pain, vision blurring"
A74.0,"conjunctivitis, eye discharge, redness, eyelid swelling, itching"
A74.8,"fever, fatigue, cough, headache, muscle pain"
A74.9,"conjunctivitis, urethritis, cervicitis, pelvic pain, infertility"
A75.0,"fever, headache, rash, muscle aches, swollen lymph nodes"
A75.1,"fever, headache, rash, muscle pain, nausea"
A75.2,"fever, headache, muscle pain, rash, swollen lymph nodes"
A75.3,"fever, headache, muscle pain, malaise, rash"
A75.9,"fever, headache, rash, muscle pain, fatigue"
A77.0,"fever, rash, headache, muscle pain, fatigue"
A77.1,"fever, headache, rash, muscle pain, swollen lymph nodes"
A77.2,"fever, headache, rash, muscle pain, swollen lymph nodes"
A77.3,"fever, headache, rash, muscle pain, joint pain"
A77.8,"fever, headache, muscle pain, rash, swollen lymph nodes"
A77.9,"fever, headache, rash, muscle pain, lymphadenopathy"
A78,"fever, headache, muscle pain, chills, cough"
A79.0,"fever, headache, muscle aches, chills, rash"
A79.1,"fever, headache, muscle aches, rash, swollen lymph nodes"
A79.8,"fever, headache, rash, muscle pain, fatigue"
A79.9,"fever, headache, rash, muscle pain, fatigue"
A80.0,"fever, headache, vomiting, stiffness in the neck, muscle weakness"
A80.1,"fever, headache, nausea, muscle weakness, paralysis"
A80.2,"fever, sore throat, headache, nausea, limb weakness"
A80.3,"fever, headache, neck stiffness, muscle weakness, paralysis"
A80.4,"fever, headache, vomiting, neck stiffness, muscle weakness"
A80.9,"fever, headache, sore throat, muscle weakness, neck stiffness"
A81.0,"memory loss, personality changes, speech difficulties, impaired judgment, visual disturbances"
A81.1,"progressive memory loss, confusion, difficulty walking, visual hallucinations, muscle rigidity"
A81.2,"cognitive decline, memory loss, personality changes, difficulty with language, motor skill impairment"
A81.8,"cognitive decline, memory loss, muscle spasms, visual disturbances, difficulty speaking"
A81.9,"memory loss, confusion, difficulty speaking, personality changes, movement difficulties"
A82.0,"fever, headache, nausea, vomiting, hydrophobia"
A82.1,"fever, anxiety, muscle spasms, paralysis, agitation, hydrophobia"
A82.9,"fever, headache, muscle weakness, agitation, confusion"
A83.0,"fever, headache, muscle pain, nausea, vomiting"
A83.1,"fever, headache, muscle pain, rash, joint pain"
A83.2,"fever, headache, muscle pain, nausea, vomiting"
A83.3,"fever, headache, confusion, nausea, vomiting"
A83.4,"fever, headache, joint pain, rash, fatigue"
A83.5,"fever, headache, muscle pain, fatigue, rash"
A83.6,"fever, headache, muscle pain, joint pain, rash"
A83.8,"fever, headache, nausea, vomiting, muscle pain"
A83.9,"fever, headache, fatigue, muscle weakness, confusion"
A84.0,"fever, headache, vomiting, neck stiffness, photophobia"
A84.1,"headache, fever, stiff neck, nausea, sensitivity to light"
A84.8,"fever, headache, nausea, vomiting, muscle pain"
A84.9,"fever, headache, muscle pain, stiff neck, nausea"
A85.0,"headache, fever, neck stiffness, confusion, nausea"
A85.1,"headache, fever, nausea, vomiting, neck stiffness"
A85.2,"headache, fever, nausea, vomiting, dizziness"
A85.8,"headache, fever, nausea, vomiting, stiff neck"
A86,"headache, fever, nausea, vomiting, confusion"
A87.0,"headache, fever, neck stiffness, photophobia, nausea"
A87.1,"fever, headache, neck stiffness, sensitivity to light, nausea"
A87.2,"fever, headache, stiff neck, nausea, vomiting"
A87.8,"fever, headache, stiff neck, nausea, vomiting"
A87.9,"fever, headache, neck stiffness, nausea, sensitivity to light"
A88.0,"fever, headache, stiff neck, photophobia, and skin rash"
A88.1,"headache, fever, nausea, vomiting, photophobia"
A88.8,"headache, fever, nausea, rash, joint pain"
A89,"fever, headache, neck stiffness, nausea, altered consciousness"
A92.0,"fever, headache, muscle pain, joint pain, rash"
A92.1,"fever, headache, muscle pain, joint pain, rash"
A92.2,"fever, headache, muscle pain, joint pain, rash"
A92.3,"fever, headache, muscle pain, joint pain, rash"
A92.4,"fever, headache, muscle pain, joint pain, rash"
A92.5,"fever, headache, retro-orbital pain, myalgia, rash"
A92.8,"fever, headache, muscle pain, rash, joint pain"
A92.9,"fever, headache, muscle pain, nausea, rash"
A93.0,"fever, rash, headache, retro-orbital pain, joint pain"
A93.1,"fever, headache, muscle pain, rash, joint pain"
A93.2,"fever, headache, muscle pain, joint pain, fatigue"
A93.8,"fever, headache, muscle pain, joint pain, nausea"
A94,"fever, headache, rash, muscle pain, fatigue"
A95.0,"fever, headache, muscle pain, jaundice, vomiting"
A95.1,"fever, headache, muscle pain, nausea, fatigue"
A95.9,"fever, headache, muscle pain, nausea, vomiting"
A96.0,"fever, headache, muscle pain, vomiting, abdominal pain"
A96.1,"fever, headache, muscle pain, skin rash, nausea"
A96.2,"fever, headache, muscle pain, vomiting, rash"
A96.8,"fever, headache, muscle pain, rash, chills"
A96.9,"fever, headache, muscle pain, joint pain, nausea"
A97.0,"fever, headache, muscle pain, joint pain, rash"
A97.1,"fever, headache, muscle pain, joint pain, skin rash"
A97.2,"fever, headache, muscle pain, joint pain, rash"
A97.9,"fever, headache, joint pain, nausea, rash"
A98.0,"fever, bleeding, rash, headache, joint pain"
A98.1,"fever, muscle pain, headache, sore throat, bleeding tendencies"
A98.2,"headache, fever, muscle pain, fatigue, sore throat"
A98.3,"fever, headache, muscle pain, vomiting, rash"
A98.4,"fever, headache, muscle pain, fatigue, joint pain"
A98.5,"fever, headache, muscle pain, dizziness, weakness"
A98.8,"fever, headache, muscle pain, vomiting, rash"
A99,"fever, headache, muscle pain, rash, fatigue"
B00.0,"fever, fatigue, vesicular rash, swollen lymph nodes, sore throat"
B00.1,"fever, sore throat, mouth ulcers, swollen lymph nodes, malaise"
B00.2,"blisters, fever, fatigue, itching, sore throat"
B00.3,"skin rash, fever, headache, malaise, lymphadenopathy"
B00.4,"fever, sore throat, lymphadenopathy, malaise, vesicular rash"
B00.5,"fever, sore throat, swollen lymph nodes, fatigue, headache"
B00.7,"fever, headache, malaise, vesicular rash, ulcerative lesions"
B00.8,"fever, rash, blistering skin lesions, tiredness, itching"
B00.9,"fever, headache, sore throat, vesicular rash, fatigue"
B01.0,"fever, vesicular rash, fatigue, headache, itching"
B01.1,"fever, headache, malaise, loss of appetite, cough"
B01.2,"rash, fever, headache, sore throat, abdominal pain"
B01.8,"rash, fever, headache, malaise, oral ulcers"
B01.9,"fever, rash, headache, malaise, loss of appetite"
B02.0,"pain, vesicular rash, fever, headache, malaise"
B02.1,"painful rash, blisters on one side, burning sensation, itching, sensitivity to touch"
B02.2,"pain, burning sensation, rash, blisters, nerve pain"
B02.3,"painful skin rash, blisters, burning sensation, tingling, itching"
B02.7,"pain, itching, skin rash, burning sensation, blisters"
B02.8,"rash, fever, headache, fatigue, pain"
B02.9,"fever, rash, headache, malaise, neuralgia"
B03,"fever, headache, muscle aches, fatigue, rash"
B04,"itching, burning sensation, red patches, small blisters, skin thickening"
B05.0,"fever, cough, runny nose, conjunctivitis, skin rash"
B05.1,"fever, runny nose, cough, red eyes, rash"
B05.2,"fever, rash, cough, conjunctivitis, koplik spots"
B05.3,"fever, cough, runny nose, conjunctivitis, rash"
B05.4,"fever, rash, runny nose, cough, conjunctivitis"
B05.8,"rash, fever, cough, runny nose, conjunctivitis"
B05.9,"fever, rash, cough, runny nose, conjunctivitis"
B06.0,"fever, rash, lymphadenopathy, headache, arthralgia"
B06.8,"fever, headache, muscle aches, joint pain, rash"
B06.9,"fever, rash, cough, runny nose, conjunctivitis"
B07,"raised bumps, rough skin texture, painless, flesh-colored, cauliflower appearance"
