disease,symptoms
Pneumonia,"Loss of appetite, Sweating a lo, Feeling very tire, Rapid breathing, Wheezing, Cough, Trouble breathing, Headache, chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum, phlegm"
Common Cold,"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
Allergy,"continuous sneezing, shivering, chills, watering from eyes"
Osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking"
Asthma,"rapid breathing, sighing, fatigue, anxiety, chronic cough without wheezing, difficulty sleeping, Difficulty talking, Pale, sweaty face"
Gastroenteritis,"vomiting, sunken eyes, dehydration, diarrhoea"
Cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness, loss of balance"
Hepatitis D,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus"
Hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations, drying and tingling lips"
Cardiovascular Diseases (CVD),"Chest pain, Chest discomfort, pain in the upper abdomen, pain in the back, pain in the throat, pain in jaw, pain in arms, pain in legs"
Diarrheal Diseases,"Mucus in the stool, Bloating, Nausea, Abdominal pain, Abdominal cramps, Blood in the stool, Urgent need to have a bowel movement"
common cold,"Sore throat., Cough., congestion, Sneezing"
mumps,"Fever., Headache, Muscle aches., Tiredness, Loss of appetite"
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts"
Hypertension,"headache, chest pain, dizziness, loss of balance, lack of concentration"
Arthritis,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking"
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body, malaise"
Respiratory diseases,"Runny nose, Sneezing, Fever, Cough, Weakness, shortness of breadth, scratchy or sore throat"
chronic obstructive puimonary disease,"Chest tightness, Lack of energy, Frequent respiratory infections, Swelled ankles, swelled legs, swelled feet, shortness of breath"
Diabetes,"Unexplained weight loss, Fatigue, Increased thirst, Frequent urination, Irritability, fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
Measles,"Dry cough, runny nose, sore throat, inflamed eyes, Red eyes, Skin rash"
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches"
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Anthrax,"Chest Discomfort, Shortness of breath, Confusion or dizziness, Cough, Nausea, vomiting,, Headache, Sweats"
Bronchitis,"Fatigue, Shortness of breath, Slight fever and chills, Chest discomfort"
Drug Reaction,"itching, skin rash, stomach pain, burning micturition, spotting  urination"
Hepatitis B,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
